label,area,perimeter,bounding_circle_area,mean_color,texture_contrast,texture_dissimilarity,edge_count
Orange,9481.5,587.0020874738693,28257.115643001074,"(199.55004619648906, 136.85627758956986, 53.45118570988605)",143.48248700519795,1.427109156337465,933
Orange,6962.0,510.61731135845184,19683.8440028944,"(220.8718341219037, 145.66546061786806, 61.53242415808516)",178.06041583366653,1.3282287085165931,666
